1,1,0.15
1,2,0.08
2,3,0.05
2,4,0.05
2,5,0.05
3,6,0.04
3,7,0.07
4,8,0.07
4,9,0.04
4,10,0.05
4,11,0.1
4,12,0.05
4,13,0.1
4,14,0.14
4,15,0.06
4,16,0.07
4,17,0.1
4,18,0.04
4,19,0.05
4,20,0.12
4,21,0.07
4,22,0.04
4,23,0.05
4,24,0.07
4,25,0.05
4,26,0.05
4,27,0.15
4,28,0.06
4,29,0.04
4,30,0.12
4,31,0.1
4,32,0.1
4,33,0.05
4,34,0.07
4,35,0.06
4,36,0.23
4,37,0.08
4,38,0.05
4,39,0.05
4,40,0.04
4,41,0.04
4,42,0.05
4,43,0.17
4,44,0.07
4,45,0.04
4,46,0.12
4,47,0.13
4,48,0.05
4,49,0.05
4,50,0.05
4,51,0.2
4,52,0.12
4,53,0.1
4,54,0.19
5,55,0.07
5,56,0.04
5,57,0.07
5,58,0.05
5,59,0.05
5,60,0.05
5,61,0.05
5,62,0.1
5,63,0.06
5,64,0.05
6,65,0.29
6,66,0.07
6,16,0.04
6,67,0.05
6,68,0.14
6,69,0.04
6,70,0.05
6,71,0.08
6,48,0.32
6,72,0.13
6,73,0.11
6,74,0.17
6,75,0.05
6,76,0.07
6,77,0.11
6,78,0.17
6,79,0.04
6,80,0.04
6,81,0.07
6,82,0.08
6,83,0.13
6,84,0.1
6,85,0.1
6,86,0.2
6,87,0.08
7,88,0.05
7,89,0.04
7,90,0.13
7,91,0.04
7,92,0.05
7,1,0.15
7,93,0.04
7,38,0.04
8,94,0.04
8,20,0.07
8,95,0.04
8,2,0.07
8,96,0.07
8,73,0.04
8,45,0.08
8,97,0.07
8,98,0.07
8,99,0.13
8,100,0.12
8,101,0.63
8,102,0.07
8,103,0.17
9,104,0.1
10,20,0.05
10,105,0.1
10,106,0.06
10,107,0.04
10,108,0.04
10,90,0.05
10,88,0.05
10,109,0.05
10,52,0.05
10,81,0.07
10,46,0.1
10,31,0.04
10,110,0.05
10,50,0.05
10,111,0.11
10,42,0.04
10,73,0.05
10,112,0.07
10,113,0.04
10,33,0.04
11,114,0.12
11,115,0.04
11,116,0.05
11,117,0.07
12,118,0.05
13,119,0.04
14,120,0.07
14,121,0.06
15,122,0.11
15,123,0.06
16,124,0.04
17,124,0.04
18,125,0.05
18,126,0.05
18,127,0.13
18,128,0.04
19,129,0.13
19,130,0.11
20,131,0.07
21,132,0.05
21,133,0.14
21,134,0.04
21,135,0.05
21,136,0.14
21,137,0.04
21,138,0.04
21,139,0.04
21,140,0.12
21,141,0.14
21,142,0.05
21,143,0.04
21,144,0.12
21,145,0.1
21,146,0.4
21,147,0.07
21,148,0.07
21,149,0.04
21,150,0.05
21,151,0.05
21,152,0.06
21,153,0.3
21,154,0.19
21,155,0.32
21,156,0.1
21,157,0.14
21,158,0.24
21,159,0.12
21,160,0.2
21,161,0.05
21,162,0.06
21,163,0.05
21,164,0.05
21,165,0.1
21,166,0.05
21,167,0.06
21,168,0.12
21,169,0.08
21,170,0.05
21,171,0.15
21,172,0.06
21,173,0.07
21,174,0.05
21,175,0.17
21,176,0.05
21,177,0.08
21,178,0.05
21,179,0.11
21,180,0.1
21,181,0.36
21,182,0.14
21,183,0.05
21,184,0.06
21,185,0.21
21,186,0.13
21,187,0.08
21,188,0.27
21,189,0.43
21,190,0.33
22,72,0.06
22,191,0.21
22,192,0.05
22,193,0.14
22,194,0.08
22,195,0.14
22,196,0.05
22,197,0.08
22,198,0.04
22,199,0.05
22,200,0.07
22,201,0.38
22,202,0.21
22,203,0.04
22,204,0.04
22,205,0.07
22,206,0.07
22,207,0.06
22,208,0.04
22,209,0.1
22,210,0.06
22,83,0.04
22,211,0.11
22,212,0.11
22,213,0.05
22,214,0.49
22,215,0.18
22,86,0.08
22,216,0.04
22,217,0.15
22,218,0.11
22,219,0.06
22,77,0.2
22,220,0.07
22,221,0.04
22,222,0.06
22,223,0.08
23,224,0.11
23,225,0.05
23,226,0.05
23,227,0.05
23,228,0.04
23,229,0.05
23,230,0.04
23,231,0.07
23,232,0.44
23,233,0.07
23,6,0.04
23,234,0.05
23,235,0.06
23,236,0.05
23,237,0.05
24,238,0.08
25,238,0.04
26,239,0.05
27,240,0.05
27,241,0.06
27,242,0.05
27,243,0.19
28,244,0.05
28,245,0.05
28,246,0.07
28,247,0.06
28,248,0.05
28,249,0.19
28,250,0.04
28,251,0.11
28,252,0.24
28,253,0.04
28,254,0.3
28,255,0.05
28,256,0.06
28,257,0.04
28,258,0.05
28,259,0.07
29,260,0.17
29,261,0.1
29,262,0.05
29,263,0.05
29,264,0.04
29,265,0.04
29,266,0.1
29,267,0.11
29,268,0.05
29,269,0.04
29,270,0.05
29,271,0.17
29,272,0.04
29,157,0.04
29,273,0.23
29,274,0.1
29,275,0.04
29,276,0.04
29,277,0.06
29,278,0.05
29,279,0.06
29,280,0.1
29,281,0.11
29,174,0.08
29,282,0.19
30,283,0.04
30,284,0.1
30,264,0.04
30,285,0.05
30,286,0.12
30,287,0.08
30,288,0.04
30,289,0.04
30,290,0.05
30,280,0.05
30,291,0.13
31,292,0.04
31,293,0.06
31,294,0.08
31,295,0.23
31,296,0.12
32,297,0.04
32,298,0.04
33,299,0.04
33,300,0.11
34,301,0.04
34,302,0.05
34,303,0.04
34,304,0.04
34,305,0.13
34,306,0.07
34,307,0.04
34,308,0.05
34,309,0.31
34,310,0.07
35,311,0.07
35,312,0.04
36,313,0.06
36,314,0.07
36,315,0.04
36,316,0.04
36,317,0.04
36,318,0.07
36,199,0.05
36,319,0.07
36,320,0.14
36,321,0.04
36,322,0.17
36,323,0.05
36,169,0.06
36,324,0.2
36,325,0.04
36,326,0.26
36,327,0.11
36,328,0.07
36,329,0.05
36,330,0.17
36,331,0.15
36,332,0.2
36,333,0.1
36,334,0.04
36,335,0.17
36,336,0.19
36,168,0.3
36,337,0.57
36,338,0.1
37,339,0.05
37,67,0.14
37,340,0.05
37,214,0.05
37,202,0.07
37,210,0.08
37,205,0.04
37,341,0.07
37,218,0.04
37,77,0.05
37,342,0.07
37,343,0.04
37,212,0.14
37,344,0.06
37,84,0.21
37,345,0.1
